length, cut_1, cut_2, cut_3, cut_4, waste
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2794,0,0,0,6
2800,2578,0,0,0,222
2800,2578,0,0,0,222
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
690,635,0,0,0,55
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,845,0,0,0,45
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
890,787,0,0,0,103
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2578,0,0,0,22
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2502,0,0,0,98
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2489,0,0,0,111
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2438,0,0,0,162
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2600,2388,0,0,0,212
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,2388,0,0,0,12
2400,1930,432,0,0,38
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1880,432,0,0,88
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1686,711,0,0,3
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,940,0,0,73
2400,1387,902,0,0,111
2400,1387,902,0,0,111
2400,1387,902,0,0,111
2400,1045,1045,0,0,310
2400,1045,1045,0,0,310
2400,1045,1045,0,0,310
2400,1045,1045,0,0,310
2400,1045,1045,0,0,310
2400,1045,1045,0,0,310
2400,902,902,584,0,12
2400,902,902,584,0,12
2400,902,902,584,0,12
2400,902,902,584,0,12
2400,902,845,635,0,18
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,787,0,39
2400,787,787,737,0,89
2400,787,737,737,0,139
2400,737,737,737,0,189
2400,737,737,737,0,189
2400,737,737,711,0,215
2400,737,711,711,0,241
2400,711,711,711,0,267
2400,711,711,711,0,267
2400,711,711,711,0,267
2400,711,711,711,0,267
2400,711,711,711,0,267
2400,711,711,711,0,267
2400,711,711,635,0,343
2400,711,635,635,0,419
2400,635,635,635,432,63
2400,635,635,629,432,69
2400,629,629,629,432,81
2400,629,629,629,432,81
2400,629,629,629,432,81
2400,629,629,629,432,81
2400,629,629,629,432,81
2400,629,629,629,432,81
2400,629,629,629,432,81
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,629,0,513
2400,629,629,584,552,6
2400,629,584,584,584,19
2400,584,584,552,552,128
2400,584,552,552,552,160
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,552,552,192,
2400,552,552,0,0,1296,
,,,,,,70.14285714
