property_name	street_address	city	state	zip_code	unit_count
	105 S Fairfield Road	Layton	UT	84041	62
	10715 Automall Drive	Sandy	UT	84070	
	1081 S 1000 E	Clearfield	UT	84015	
The Falls at Hunters Pointe	11251 S State Street	Sandy	UT	84070	276
	1151 E 6720 S	Cottonwood Heights	UT	84121	160
Legacy Crossing Apartments	1162 W 200 N	Centerville	UT	84014	
Promontory Point Apartments	1175 E 7800 S	Sandy	UT	84094	240
	12 E Duchesne Circle	Draper	UT	84020	
Goldstone Place	1200 S 1500 E	Clearfield	UT	84015	228
	121 Westminster Avenue	Salt Lake City	UT	84115	
	122 N 400 W	Smithfield	UT	84335	
	1220 E 2100 S	Salt Lake City	UT	84106	
Springwood Apartments	1230 S 500 W	Bountiful	UT	84010	144
	1256 N Commerce Drive	Saratoga Springs	UT	84045	240
	1263 S 1220 W	Orem	UT	84058	
	12774 N Deer Mountain Boulevard	Hideout	UT	84036	
	1320 S 500 E	Salt Lake City	UT	84105	
Brighton Place Apartments	135 W Plum Tree Lane	Midvale	UT	84047	336
	1367 N Cedar Boulevard	Cedar City	UT	84721	
	1378 S Roberta Street	Salt Lake City	UT	84115	
	1396 Lincoln	Ogden	UT	84404	
Pinnacle Canyon View	1401 Sandhill Road	Orem	UT	84058	288
	145 N 100 W	Fillmore	UT	84631	
	1450 Laurel Drive	Ogden	UT	84403	48
The Gate at Canyon Ridge	1455 Valley Drive	Ogden	UT	84401	
	148 W 100 N	Wellsville	UT	84339	
	1480 Green Street	Salt Lake City	UT	84105	
Sandpiper Apartment Homes	1492 Spring Lane	Holladay	UT	84117	
	1525 N Main Street	Bountiful	UT	84010	192
	1551 W Riverdale Road	Riverdale	UT	84405	225
	1553 W Garden Drive	Pleasant Grove	UT	84062	
	156 E 100 N	Logan	UT	84321	
	1580 N 200 E	Logan	UT	84341	80
	1585 N 400 E	Logan	UT	84341	112
	1595-1601 E 3970 S	Salt Lake City	UT	84124	
	1612 S 500 E	Salt Lake City	UT	84115	
	1620 N 200 E	Logan	UT	84341	
	1627 S Foothill Drive	Salt Lake City	UT	84108	
	165 W 250 N	Clearfield	UT	84015	
	1656 N 400 W	Layton	UT	84041	186
Fox Creek Apartments	1656 N Hill Field Road	Layton	UT	84041	
Riverview Townhomes	1665 Riverside Dr 1125 W	Salt Lake City	UT	84104	61
	1694 W 8300 S	West Jordan	UT	84088	
Summit Ridge Apartments	1697 S 400 E	Orem	UT	84058	
